alpha,Scientific_name,english_name
YER,Mytella strigata,Strigate mangrove mussel
YEP,Mytella speciosa,Reeve's mangrove mussel
KUK,Arcuatula arcuatula,Arcuate mussel
GKD,Geukensia demissa,Atlantic ribbed mussel
IHR,Ischadium recurvum,Hooked mussel
LFF,Lithophaga lithophaga,European date mussel
LFN,Lithophaga attenuata,Pacific date mussel
LFS,Lithophaga teres,Cylinder date mussel
UUH,Musculista senhousia,Senhouse horse mussel
FRB,Septifer bilocularis,Box mussel
TVS,Stavelia subdistorta,Distorted mussel
CHC,Choromytilus chorus,Choro mussel
YUM,Choromytilus meridionalis,Black mussel
YUP,Choromytilus palliopunctatus,Pinpricked mussel
DLC,Modiolus auriculatus,Eared horse mussel
DJB,Modiolus barbatus,Bearded horse mussel
DJK,Modiolus kurilensis,Kurilean horse mussel
DJM,Modiolus metcalfei,Yellowbanded horse mussel
DJO,Modiolus modiolus,Northern horse mussel
DJF,Modiolus philippinarum,Philippine horse mussel
DJX,Modiolus capax,Capax horse mussel
DJI,Modiolus americanus,Tulip mussel
DJE,Modiolus eiseni,Offshore horse mussel
DJU,Modiolus rectus,Straight horse mussel
DJN,Modiolus nitens,Shiny mussel
DJH,Modiolus rhomboideus,Rhomboid mussel
DJQ,Modiolus squamosus,False tulip mussel
DJD,Modiolus adriaticus,Adriatic horse mussel
DLQ,Modiolus aratus,Furrowed horse mussel
MOD,Modiolus spp,Horse mussels nei
MSL,Perna perna,South American rock mussel
MSV,Perna viridis,Green mussel
MUZ,Perna canaliculus,New Zealand mussel
MSI,Perna indica,Indian brown mussel
PQJ,Perna picta,African mussel
MSC,Aulacomya ater,Cholga mussel
MSX,Mytilidae,Sea mussels nei
SVE,Chamelea gallina,Striped venus
AYQ,Ameghinomya antiqua,King's littleneck
CTS,Venerupis pullastra,Pullet carpet shell
VNA,Venerupis aurea,Golden carpet shell
VNR,Venerupis rhomboides,Banded carpet shell
VUC,Venerupis corrugata,Corrugated venus
VUD,Venerupis dura,Durable venus
VEN,Venerupis spp,
ITU,Amiantis purpurata,Purple amiantis
NKB,Anomalocardia brasiliana,West Indian pointed venus
NAQ,Anomalocardia squamosa,Squamose venus
KLK,Callista chione,Smooth callista
KNN,Chione cancellata,Cross-barred venus
KNK,Chione kellettii,Kellett's Panama venus
KNF,Chione paphia,King venus
KNU,Chione stutchburyi,Stutchbury's venus
KIK,Chione californiensis,Common Californian venus
KIU,Chione fluctifraga,Smooth Pacific venus
KIG,Chione gnidia,Ornate venus
KID,Chione undatella,Frilled Californian venus
KIP,Chione compta,Small banded venus
KIS,Chione subrugosa,Semi-rough venus
KFR,Circomphalus rosalina,African venus
KFA,Circomphalus casinus,Chamber venus
EKP,Eumarcia paupercula,Koch's venus
EHX,Eurhomalea exalbida,Magellan clam
ERF,Eurhomalea rufa,Peruvian yellow clam
GFD,Gafrarium dispar,Discrepant venus
GFK,Gafrarium divaricatum,Forked venus
GFJ,Gafrarium tumidum,Tumid venus
GFP,Gafrarium pectinatum,Comb venus
GFQ,Gomphina aequilatera,Equilateral venus
KTH,Katelysia hiantina,Hiant venus
KYJ,Katelysia japonica,Japan venus
KYM,Katelysia marmorata,Marbled venus
IKK,Lioconcha castrensis,Camp pitar venus
IKO,Lioconcha ornata,Ornate pitar venus
KSM,Macrocallista maculata,Calico clam
KSN,Macrocallista nimbosa,Sunray venus
KIO,Marcia opima,Fertile venus
RFM,Marcia flammea,Ovate clam
HCJ,Meretrix lusoria,Japanese hard clam
HCA,Meretrix meretrix,Asiatic hard clam
MXK,Meretrix casta,Backwater hard clam
MXL,Meretrix lyrata,Lyrate hard clam
MXH,Meretrix petechialis,Spotted hard clam
HCX,Meretrix spp,Hard clams nei
EGA,Megapitaria aurantiaca,Golden callista
EGQ,Megapitaria squalida,Squalid callista
EGI,Periglypta listeri,Princess venus
EGU,Periglypta puerpera,Youthful venus
GTQ,Periglypta multicostata,Many-ridged venus
EGK,Periglypta clathrata,Clathrate venus
EGE,Periglypta reticulata,Reticulated venus
CTG,Ruditapes decussatus,Grooved carpet shell
CLJ,Ruditapes philippinarum,Japanese carpet shell
RTV,Ruditapes variegatus,Variegated carpet shell
TPS,Ruditapes spp,Carpet shells nei
ITL,Pitar callicomatus,Ridged pitar venus
ITD,Pitar dione,Royal comb venus
ITI,Pitar fulminatus,Lightning venus
ITT,Pitar rostratus,Rostrate pitar
ITJ,Pitar unicolor,Self-coloured pitar
ITS,Pitar citrinus,Yellow pitar venus
IAC,Pitar pellucidus,Pellucid pitar venus
ITQ,Pitar rudis,Rough pitar venus
JTT,Pitar tumens,Swollen venus
KMT,Placamen tiara,Tiar venus
TQD,Tapes dorsatus,Turgid venus
TQJ,Tapes literatus,Lettered venus
TBC,Tapes belcheri,Belcher's venus
TWG,Tawera gayi,Gay's little venus
TVL,Tivela lessonii,Hians tivela
TVM,Tivela mactroides,Triangular tivela
TVT,Tivela stultorum,Pismo clam
TVV,Tivela ventricosa,Ventricose tivela
TVB,Tivela byronensis,Byron tivela
TVP,Tivela planulata,Flat tivela
TVR,Tivela tripla,Triple venus
VNI,Ventricolaria isocardia,Heart venus
VNG,Ventricolaria rigida,Rigid venus
VEV,Venus verrucosa,Warty venus
VUF,Venus foliaceolamellosa,Plicate venus
KKS,Circe scripta,Script venus
KNJ,Cyclina sinensis,Oriental cyclina
UTU,Sunetta menstrualis,Mauve sunetta
UTC,Sunetta truncata,Truncate sunetta
KKC,Circentia callipyga,Venus clam
BCL,Saxidomus giganteus,Butter clam
SXI,Saxidomus nuttalli,Common butter clam
XDP,Saxidomus purpurata,Purple butter clam
PAU,Paphia undulata,Undulate venus
FAG,Paphia gallus,Rooster venus
FAT,Paphia textile,Textile venus
FAE,Paphia semirugata,Semigrooved venus
NCL,Paphia spp,Short neck clams nei
PTS,Protothaca staminea,Pacific littleneck clam
TCL,Protothaca thaca,Taca clam
ROQ,Protothaca asperrima,Rough littleneck
RQC,Protothaca columbiensis,Columbian littleneck
RQG,Protothaca grata,Lesser littleneck
RQE,Protothaca pectorina,Brazilian comb venus
RQT,Protothaca tenerrima,Thin-shelled littleneck
CLH,Mercenaria mercenaria,Northern quahog(=Hard clam)
EKK,Mercenaria campechiensis,Southern hardshell clam
DOR,Dosinia orbignyi,Dosinia clam
DNK,Dosinia dunkeri,Dunker's dosinia
DNJ,Dosinia japonica,Japanese dosinia
DSO,Dosinia ponderosa,Ponderous dosinia
DSX,Dosinia exoleta,Mature dosinia
DOI,Dosinia lupinus,Smooth dosinia
CLV,Veneridae,Venus clams nei
HCL,Pseudocardium sybillae,Imperial surf clam
EQR,Eastonia rugosa,Rugose mactra
UTL,Lutraria lutraria,Common otter shell
UTA,Lutraria angustior,Narrow otter shell
UTM,Lutraria magna,Oblong otter shell
UTE,Lutraria elongata,Elongate mactra
RGQ,Rangia cuneata,Common rangia
RGD,Rangia mendica,Western Mexican rangia
TSX,Tresus capax,Fat horse clam
TQK,Tresus keenae,Japanese horse clam
TQU,Tresus nuttallii,Pacific horse clam
TQZ,Tresus spp,Pacific horse clams nei
MQC,Meropesta capillacea,Maidenhair mactra
MQJ,Meropesta pellucida,Pellucid mactra
WMC,Mactrellona alata,Panamic winged mactra
MQH,Mactra chinensis,Chinese trough shell
MQN,Mactra cuneata,Wedge trough-shell
MQD,Mactra discors,Discors trough shell
MTV,Mactra veneriformis,Globose clam
MQG,Mactra iheringi,Ihering's trough shell
MAG,Mactra glabrata,Smooth mactra
MQS,Mactra isabelleana,Isabel surf clam
MQK,Mactra lilacea,Lilac trough-shell
MQZ,Mactra luzonica,Luzon troughshell
MQM,Mactra maculata,Maculated troughshell
MQR,Mactra mera,Plain troughshell
MQO,Mactra murchisoni,Large trough shell
MQQ,Mactra petiti,Symmetrical trough shell
MKQ,Mactra achatina,Agate troughshell
MQW,Mactra violacea,Violet troughshell
MQX,Mactra corallina,Rayed trough-shell
MQY,Mactra glauca,Grey rough shell
AQG,Mactra largillierti,Largilliert's mactra
AQJ,Mactra nitida,Polished mactra
AQS,Mactra rostrata,Rostrate mactra
AQF,Mactra californica,Californian mactra
AQW,Mactra velata,Concealed surf clam
HVV,Harvella vitrea,Glassy mactra
CLB,Spisula solidissima,Atlantic surf clam
CLT,Spisula polynyma,Stimpson's surf clam
PQQ,Spisula aequilatera,Equal-sized surf clam
ULV,Spisula ovalis,Oval surf clam
ULO,Spisula solida,Solid surf clam
ULT,Spisula subtruncata,Subtruncate surf clam
SSD,Spisula spp,Surf clams nei
UNE,Mulinia cleryana,Caribbean surf clam
MUN,Mulinia spp,Taquilla clams
MAT,Mactridae,Mactra surf clams nei
GKG,Glycymeris gigantea,Giant bittersweet
GKL,Glycymeris glycymeris,Common European bittersweet
GKU,Glycymeris maculata,Speckled bittersweet
GKO,Glycymeris ovata,Black bittersweet
GCJ,Glycymeris pilosa,Pilose bittersweet
GCV,Glycymeris reevei,Reeve's bittersweet
GCD,Glycymeris undata,Lined bittersweet
GCC,Glycymeris violacenscens,Violet bittersweet
GCK,Glycymeris bimaculata,Two-spotted bittersweet
GKR,Glycymeris scripta,Scripta bittersweet
GLV,Glycymeris vovan,Vovan bittersweet
UCP,Tucetona pectunculus,Comb bittersweet
UCR,Tucetona strigilata,Tessellated bittersweet
YOH,Hyotissa hyotis,Honeycomb oyster
YTQ,Hyotissa fisheri,Wrinkled oyster
NPQ,Neopycnodonte cochlear,Spoon oyster
GLX,Galatea paradoxa,Common galatea clam
DXA,Donax asper,Rough butterfly donax
DXC,Donax californicus,Californian donax
DXK,Donax carinatus,Sculptured donax
DXN,Donax cuneatus,Cuneate donax
DXD,Donax denticulatus,Common Caribbean donax
DXE,Donax dentifer,Toothed donax
DXF,Donax faba,Pacific bean donax
DXI,Donax gracilis,Gracile donax
DXH,Donax hanleyanus,La Plata donax
DXJ,Donax incarnatus,Fleshy donax
DXV,Donax peruvianus,Common peruvian donax
DXT,Donax punctatostriatus,Punctate donax
DNS,Donax rugosus,Rugose donax
DXO,Donax scortum,Leather donax
DXQ,Donax semistriatus,Half-striated donax
DNT,Donax striatus,Striate donax
DXL,Donax trunculus,Truncate donax
DNI,Donax vittatus,Banded donax
DNE,Donax deltoides,Goolwa donax
DOG,Donax gouldii,Bean donax
DOV,Donax variegatus,Smooth donax
DNY,Donax venustus,Lovely donax
DXX,Donax pulchellus,Beautiful donax
DON,Donax spp,Donax clams
IFB,Iphigenia brasiliana,Giant false donax
IFT,Iphigenia altior,Tall false donax
IFV,Iphigenia laevigata,Smooth false donax
IFD,Iphigenia delesserti,Delessert's false donax
IFR,Iphigenia rostrata,Rostrate false donax
FLC,Pharella acutidens,Sharp razor clam
FLJ,Pharella javanica,Javanese razor clam
SQD,Solen cylindraceus,Cylindrical razor shell
RAE,Solen marginatus,European razor clam
SGX,Solen gordonis,Akemate razor shell
RAC,Solen capensis,Cape razor clam
SVK,Solen kempi,Kemp's razor shell
SVM,Solen malaccensis,Malacca razor shell
SVU,Solen roseomaculatus,Pink-spotted razor shell
SVD,Solen rudis,Rough jackknife
SQV,Solen strictus,Gould's razor shell
OEX,Solen rostriformis,Rostrate jackknife
LNX,Solen grandis,Grand razor shell
ONK,Solen lamarckii,Lamarck's razor shell
EGN,Solen guineensis,Guinea razor shell
RAZ,Solen spp,Razor clams nei
EQK,Ensis arcuatus,Arched razor shell
CLR,Ensis directus,Atl.jackknife(=Atl.razor clam)
EQE,Ensis ensis,Pod razor shell
EQH,Ensis macha,Giant jackknife
EQI,Ensis siliqua,Sword razor shell
ENY,Ensis goreensis,Goree razor clam
RAP,Siliqua patula,Pacific razor clam
IQA,Siliqua alta,Dall's razor clam
IQR,Siliqua radiata,Sunset razoe clam
IQW,Siliqua winteriana,Winter's razor clam
ULN,Cultellus tenuis,African knife shell
SOI,Solenidae,"Razor clams, knife clams nei"
CLS,Mya arenaria,Sand gaper
YTK,Mya truncata,Blunt gaper
MWA,Mya spp,Gaper nei
GEC,Panopea abrupta,Pacific geoduck
PQV,Panopea aldovrandi,Aldovrandi's panope
HXD,Hemidonax donaciformis,Common hemidonax
NOQ,Anomia ephippium,Common jingle shell
NPV,Anomia peruviana,Peruvian jingle shell
ODQ,Pododesmus cepio,Abalone jingle shell
BVL,Batissa violacea,Violet batissa
YMA,Polymesoda aequilatera,Equilateral marsh clam
YMR,Polymesoda caroliniana,Carolina marsh clam
YME,Polymesoda erosa,Common geloina
YMX,Polymesoda expansa,Broad geloina
YMT,Polymesoda triangula,Triangular mash clam
YMI,Polymesoda inflata,Inflated marsh clam
YMK,Polymesoda arctata,Slender marsh clam
YMB,Polymesoda bengalensis,Bengali geloina
VIY,Villorita cyprinoides,Common Indian marsh clam
CMJ,Corbicula japonica,Japanese corbicula
CMM,Corbicula manilensis,Manila clam
CMA,Corbicula fluminea,Asian clam
CLF,Corbicula spp,Freshwater clams nei
FIF,Fimbria fimbriata,Common basket lucina
FIV,Fimbria soverbii,Elegant basket lucina
AKK,Acanthocardia aculeata,Spiny cockle
AKJ,Acanthocardia echinata,European prickly cockle
KTU,Acanthocardia paucicostata,Poorly ribbed cockle
KTS,Acanthocardia spinosa,Sand cockle
KTT,Acanthocardia tuberculata,Tuberculate cockle
KTG,Cerastoderma glaucum,Olive green cockle
COC,Cerastoderma edule,Common edible cockle
KDO,Cardium costatum,Costate cockle
KDR,Cardium rigens,Gaping cockle
KCW,Clinocardium buelowi,Bulow's cockle
KCL,Clinocardium nuttallii,Basket cockle
DKR,Dinocardium robustum,Giant atlantic cockle
FVM,Fulvia mutica,Japanese cockle
FVP,Fulvia papyracea,Paper cockle
YNK,Hypanis plicatus,Folded lagoon cockle
LVC,Laevicardium crassum,Norwegian egg cockle
LVL,Laevicardium elatum,Giant Pacific egg cockle
LVO,Laevicardium oblongum,Oblong egg cockle
LVV,Laevicardium laevigatum,Common egg cockle
MDK,Monodacna colorata,Coloured lagoon cockle
TKQ,Trachycardium consors,Consors' cockle
TDX,Trachycardium egmontianum,American prickly cockle
TIQ,Trachycardium isocardia,Even cockle
TIX,Trachycardium muricatum,American yellow cockle
TQP,Trachycardium panamense,Mexican cockle
TQO,Trachycardium procerum,Slender cockle
TQR,Trachycardium rugosum,Pacific yellow cockle
TQQ,Trachycardium quadragenarium,Giant Pacific cockle
YKU,Trachycardium rubicudum,Reddish cockle
YKA,Trachycardium angulatum,Angulate cockle
YKR,Trachycardium orbita,Orbit cockle
YKS,Trachycardium subrugosum,Wrinkled cockle
FGR,Fragum fragum,White strawberry cockle
FGE,Fragum hemicardium,Pacific half cockle
FGD,Fragum unedo,Pacific strawberry cockle
MDQ,Americardia media,Atlantic strawberry cockle
KCC,Corculum cardissa,True heart cockle
GKS,Plagiocardium pseudolatum,Broad cockle
VKA,Vepricardium asiaticum,Asiatic cockle
VKS,Vepricardium sinense,Chinese cockle
COZ,Cardiidae,Cockles nei
KDS,Atactodea striata,Striate beach clam
AFQ,Paphies australis,Pipi wedge clam
DJC,Donacilla cornea,Corneous wedge clam
CLM,Mesodesma donacium,Macha clam
EQT,Mesodesma mactroides,Yellow wedge clam
EQU,Mesodesma subtriangulatum,Tuatua wedge clam
EQV,Mesodesma ventricosum,Toheroa wedge clam
IMA,Isognomon alatus,Flat tree oyster
IMR,Isognomon recognitus,Pacific tree oyster
IOJ,Isognomon janus,Janus tree oyster
IGH,Isognomon ephippium,Saddle tree oyster
IGQ,Isognomon isognomum,Wader tree oyster
IMP,Isognomon perna,Rayed tree oyster
TDG,Tridacna gigas,Giant clam
TDD,Tridacna derasa,Smooth giant clam
TDS,Tridacna squamosa,Fluted giant clam
DKC,Tridacna crocea,Crocus giant clam
DKX,Tridacna maxima,Elongate giant clam
HIP,Hippopus hippopus,Bear paw clam
HJQ,Hippopus porcellanus,China clam
TNX,Laternula elliptica,Antarctic soft-shell clam
ELV,Laternula truncata,Truncate lantern clam
IML,Lima lima,Spiny file shell
IMV,Lima vulgaris,Common file shell
IMT,Limaria tuberculata,Inflated file shell
KTR,Acesta rathbuni,Rathbun's giant file shell
KTX,Ctenoides scabra,Rough lima
LQI,Limopsis marionensis,Antarctic airy limopsis
NQE,Anodontia edentula,Toothless lucine
KKO,Codakia orbicularis,Atlantic tiger lucine
KKT,Codakia tigerina,Pacific tiger lucine
KKI,Codakia interrupta,Interrupted lucine
KKP,Codakia punctata,Punctate lucine
ULK,Austriella corrugata,Corrugate lucine
EKL,Epicodakia bella,Divergent lucine
LQU,Loripes lucinalis,Pale lucina
LQB,Lucinoma borealis,Northern lucina
USG,Malleus regula,Straight hammer oyster
EQB,Malleus albus,White hammer oyster
EQM,Malleus malleus,Black hammer oyster
LQG,Malletia gigantea,Kerguelen malletia
KTF,Carditamera floridana,Broad ribbed cardita
KDQ,Cardites antiquatus,Antique cardita
KDT,Cardites tankervillei,Tankerville's cardita
KDB,Cardites bicolor,Twotoned cardita
YCI,Cyclocardia astartoides,Antarctic cardita
KDJ,Cardiocardita ajar,Ajar cardita
BNG,Beguina semiorbiculata,Halfround cardita
EQO,Estellacar olivacea,Olive ark
OLQ,Portlandia isonota,Kerguelen nut shell
YDH,Yoldia eightsi,Antarctic yoldia
BEQ,Barnea candida,White piddock
BQS,Barnea subtruncata,Pacific mud piddock
BQD,Barnea dilatata,Dilate piddock
BQM,Barnea manilensis,Manila piddock
BQT,Barnea truncata,Truncate barnea
YPK,Cyrtopleura costata,Angel wing
FLK,Pholas chiloensis,Pacific coast angel wing
FOO,Pholas orientalis,Oriental angel wing
FOD,Pholas dactylus,Common piddock
MJX,Martesia striata,Striate martesia
TXP,Talona explanata,Talona pholaad
TQF,Atrina fragilis,Brittle pen shell
TQE,Atrina pectinata,Comb pen shell
TQM,Atrina maura,Maura pen shell
TQC,Atrina tuberculosa,Tuberculate pen shell
TQX,Atrina vexillum,Flag pen shell
RNY,Atrina chautardi,Chautard's pen shell
TQY,Atrina spp,Pen shells nei
PQB,Pinna nobilis,Noble pen shell
PJQ,Pinna rugosa,Rugose pen shell
IAK,Pinna bicolor,Bicolor pen shell
NAJ,Pinna muricata,Prickly pen shell
NNW,Pinna rudis,Rough pen shell
GQE,Gari elongata,Elongate sunset clam
GQM,Gari minor,Minor sunset clam
GJT,Gari togata,Courtesan sunset clam
GJQ,Gari squamosa,Squamose sunset clam
GJU,Gari truncata,Truncate sunset clam
GJD,Gari depressa,Depressed sunset clam
GIF,Gari fervensis,Faeroe sunset clam
HXF,Heterodonax pacificus,Western small false donax
HUQ,Hiatula chinensis,Chinese sanguin
UTN,Nuttallia nuttallii,Nuttall's mahogany clam
NUY,Nuttallia obscurata,Varnish clam
UNU,Sanguinolaria cruenta,Operculate sanguin
FSV,Asaphis violascens,Pacific asaphis
OIF,Soletellina diphos,Diphos sanguin
SRZ,Semele radiata,Radiate semele
EMQ,Semele decisa,Bark semele
TUW,Semele solida,Chilean semele
SVT,Sinonovacula constricta,Constricted tagelus
TGZ,Tagelus dombeii,Dombey's tagelus
TEX,Tagelus plebeius,Stout tagelus
TEY,Tagelus californianus,Californian tagelus
TLX,Tagelus peruvianus,Duckbill tagelus
GLW,Tagelus adansonii,Adanson's tagelus
ZNB,Azorinus abbreviatus,Small short razor
ZNC,Azorinus chamasolen,Antique razor clam
KUT,Solecurtus divaricatus,Divaricate short razor
UUT,Solecurtus strigilatus,Rasp short razor
FRL,Pharus legumen,Bean solen
DYM,Spondylus americanus,Atlantic spiny oyster
DYD,Spondylus gaederopus,European thorny oyster
DYJ,Spondylus ictericus,Digitate thorny oyster
ONF,Spondylus calcifer,Donkey thorny oyster
OUQ,Spondylus princeps,Pacific thorny oyster
OOQ,Spondylus squamosus,Ducal thorny oyster
DYB,Spondylus barbatus,Bearded thorny oyster
DUL,Spondylus butleri,Butler's thorny oyster
DSJ,Spondylus imperialis,Imperial thorny oyster
DSV,Spondylus versicolor,Golden thorny oyster
MQF,Macoma brevifrons,Short macoma
OKC,Macoma constricta,Constricted macoma
MKD,Macoma grandis,Grand macoma
MCZ,Macoma nasuta,Bentnose macoma
MKZ,Macoma secta,White sand macoma
KMC,Macoma cancellata,Cancellate panope
TQI,Tellina incarnata,Fleshy tellin
TQL,Tellina alternata,Alternate tellin
TQT,Tellina planata,Flat tellin
TQS,Tellina staurella,Cross tellin
TQV,Tellina virgata,Virgate tellin
TNZ,Tellina laceridens,Lacerate tellin
TLY,Tellina simulans,Similar red tellin
TFK,Tellina foliacea,Foliated tellin
LLF,Tellina linguafelis,Cat's tongue tellin
LLX,Tellina palatam,Palate tellin
EQJ,Tellina remies,Remies tellin
EQC,Tellina scobinata,Rasp tellin
EQN,Tellina timorensis,Timor tellin
EIX,Tellina albicans,Glossy tellin
LIQ,Tellina pulchella,Beautiful tellin
ENW,Tellina tenuis,Delicate tellin
TXH,Tellina hyalina,Hyaline tellin
TXS,Tellina senegambiensis,Senegambian tellin
TXT,Tellina strigosa,Thin tellin
TXF,Tellina fabula,
TWL,Tellina spp,Tellins nei
YMH,Apolymetis ephippium,Saddle grooved macoma
YIY,Apolymetis papyracea,Paper tellin
GTG,Gastrana fragilis,Fragile tellin
UCL,Cucullaea labiata,Hooked ark
UNA,Placuna placenta,Windowpane oyster
UNF,Placuna ephippium,Saddle oyster
BCQ,Bactronophorus thoracites,Edible shipworm
YRK,Lyrodus pedicellatus,Siamese shipworm
YIU,Mysia undata,Undulated false lucine
PKH,Petricola pholadiformis,False angel wing
OBN,Scrobicularia plana,Peppery furrow
OMX,Solemya togata,Mediterranean awning clam
HQY,Thracia papyracea,Paper thracia
HQN,Thracia pubescens,Pubescent thracia
DRP,Dreissena polymorpha,Zebra mussel
YIH,Mytilopsis leucophaeata,Dark falsemussel
YSQ,Mytilopsis sallei,Santo Domingo falsemussel
CLX,Bivalvia,"Clams, etc. nei"
EDK,Sepiadarium kochii,Koch’s bottletail squid
EDZ,Sepiadarium austrinum,Southern bottletail squid
EJA,Sepia aculeata,Needle cuttlefish
CTC,Sepia officinalis,Common cuttlefish
EJB,Sepia bertheloti,African cuttlefish
EJE,Sepia elegans,Elegant cuttlefish
IAR,Sepia orbignyana,Pink cuttlefish
EJN,Sepia andreana,Andrea cuttlefish
EIP,Sepia apama,Giant Australian cuttlefish
EJR,Sepia arabica,Arabian cuttlefish
EJU,Sepia aureomaculata,
EJT,Sepia australis,Southern cuttlefish
EJG,Sepia braggi,Slender cuttlefish
EIJ,Sepia brevimana,Shortclub cuttlefish
EJL,Sepia elobyana,Guinean cuttlefish
EJO,Sepia erostrata,
EJK,Sepia esculenta,Golden cuttlefish
EJF,Sepia foliopeza,
EIQ,Sepia kobiensis,Kobi cuttlefish
EJX,Sepia latimanus,Broadclub cuttlefish
IAL,Sepia longipes,Longarm cuttlefish
IAO,Sepia lorigera,Spider cuttlefish
EIY,Sepia lycidas,Kisslip cuttlefish
EJD,Sepia madokai,Madokai's cuttlefish
IAM,Sepia mestus,Reaper cuttlefish
IAI,Sepia tokioensis,
EJY,Sepia murrayi,Frog cuttlefish
IAA,Sepia omani,Oman cuttlefish
IAD,Sepia pardex,
IAT,Sepia peterseni,
IAH,Sepia pharaonis,Pharaoh cuttlefish
EJH,Sepia prashadi,Hooded cuttlefish
IAE,Sepia recurvirostra,Curvespine cuttlefish
IAV,Sepia savignyi,Broadback cuttlefish
EIW,Sepia subtenuipes,
EJW,Sepia tenuipes,
IAN,Sepia trygonina,Trident cuttlefish
CVT,Sepia hierredda,Giant African cuttlefish
IAQ,Sepia opipara,Magnificent cuttlefish
IEV,Sepia vermiculata,Patchwork cuttlefish
IEB,Sepia bandensis,Stumpy cuttlefish
IAX,Sepia spp,Cuttlefishes nei
IAJ,Metasepia tullbergi,Paintpot cuttlefish
IAZ,Metasepia pfefferi,Flamboyant cuttlefish
IEJ,Sepiella japonica,Japanese spineless cuttlefish
ILR,Sepiella inermis,Spineless cuttlefish
IEO,Sepiella ornata,Ornate cuttlefish
CTL,"Sepiidae, Sepiolidae","Cuttlefish, bobtail squids nei"
HHP,Heteroteuthis dispar,Odd bobtail squid
IIN,Sepiolina nipponensis,Japanese bobtail squid
ROA,Rossia macrosoma,Stout bobtail squid
OJU,Rossia bullisi,Bully bobtail squid
OJP,Rossia pacifica,North Pacific bobtail squid
OJT,Rossia tortugaensis,Tortuga bobtail squid
OJA,Austrorossia antillensis,Antilles bobtail squid
OJB,Austrorossia bipapillata,Big-eyed bobtail squid
OJG,Austrorossia australis,Big bottom bobtail squid
UTK,Stoloteuthis leucoptera,Leucoptera bobtail squid
EMY,Euprymna berryi,Humming-bird bobtail squid
EYQ,Euprymna morsei,Mimika bobtail squid
EYZ,Euprymna tasmanica,Southern bobtail squid
CTR,Sepiola rondeleti,Dwarf bobtail squid
IOF,Sepiola affinis,Analogous bobtail squid
IOT,Sepiola atlantica,Atlantic bobtail squid
IOU,Sepiola aurantiaca,Golden bobtail squid
IOB,Sepiola birostrata,Butterfly bobtail squid
IOI,Sepiola intermedia,Intermediate bobtail squid
IOL,Sepiola ligulata,Tongue bobtail squid
IOR,Sepiola robusta,Robust bobtail squid
IOE,Sepiola steenstrupiana,Steenstrup's bobtail squid
OTO,Rondeletiola minor,Lentil bobtail squid
ITG,Sepietta neglecta,Elegant bobtail squid
ITB,Sepietta obscura,Mysterious bobtail squid
ITW,Sepietta oweniana,Common bobtail squid
MQI,Semirossia equalis,Greater shining bobtail squid
IRE,Semirossia tenera,Lesser shining bobtail squid
NEK,Neorossia caroli,Carol bobtail squid
OJY,Loligo uyii,Little squid
SQP,Loligo gahi,Patagonian squid
SQO,Loligo opalescens,Opalescent inshore squid
OJH,Loligo chinensis,Mitre squid
SQL,Loligo pealeii,Longfin squid
OJE,Loligo edulis,Swordtip squid
OGK,Loligo bleekeri,Spear squid
OGB,Loligo beka,Beka squid
SQR,Loligo vulgaris,European squid
OJK,Loligo kobiensis,Kobi squid
OJD,Loligo duvauceli,Indian squid
CHO,Loligo reynaudi,Cape Hope squid
SQF,Loligo forbesi,Veined squid
OJJ,Loligo japonica,Japanese squid
OJL,Loligo ocula,Bigeye inshore squid
OJO,Loligo plei,Slender inshore squid
OJR,Loligo roperi,Island inshore squid
OJS,Loligo sanpaulensis,Sao Paulo squid
OJI,Loligo sibogae,Siboga squid
OJN,Loligo singhalensis,Long barrel squid
OJM,Loligo surinamensis,Surinam squid
SQC,Loligo spp,Common squids nei
SUY,Stauroteuthis syrtensis,
UHU,Sepioteuthis australis,Southern reef squid
UHL,Sepioteuthis lessoniana,Bigfin reef squid
UHS,Sepioteuthis sepioidea,Caribbean reef squid
OUL,Alloteuthis subulata,European common squid
OUM,Alloteuthis media,Midsize squid
OUK,Alloteuthis africana,African squid
OUW,Alloteuthis spp,
IUB,Lolliguncula brevis,Western Atlantic brief squid
IUM,Lolliguncula mercatoris,Guinean thumbstall squid
IUJ,Lolliguncula panamensis,Panama brief squid
SQT,Lolliguncula spp,Thumbstall squids
OKD,Loliolopsis diomedeae,Dart squid
URB,Uroteuthis bartschi,Bartsch's squid
SQZ,Loliginidae,Inshore squids nei
HQI,Hyaloteuthis pelagica,Glassy flying squid
OFJ,Ommastrephes bartrami,Neon flying squid
OFC,Ommastrephes caroli,Webbed flying squid
OFE,Ommastrephes pteropus,Orangeback flying squid
OMM,Ommastrephes spp,Flying squids nei
OKA,Ornithoteuthis antillarum,Atlantic bird squid
OKL,Ornithoteuthis volatilis,Shiny bird squid
SQI,Illex illecebrosus,Northern shortfin squid
SQM,Illex coindetii,Broadtail shortfin squid
SQA,Illex argentinus,Argentine shortfin squid
IXO,Illex oxygonius,Sharptail shortfin squid
ILL,Illex spp,Shortfin squids nei
TDQ,Todaropsis eblanae,Lesser flying squid
GIS,Dosidicus gigas,Jumbo flying squid
YMU,Symplectoteuthis luminosa,Luminous flying squid
YMO,Symplectoteuthis oualaniensis,Purpleback flying squid
